true,pred,prob
1,0,0.3407114842153264
1,1,0.7149320230758824
1,1,0.7085994825531211
0,0,0.1563580566063275
1,1,0.5832588793039921
0,1,0.8161559323037841
0,0,0.34082567212004494
0,0,0.2988056672576619
0,0,0.23170765569699156
1,1,0.8028380873803338
1,1,0.6881175018559431
1,1,0.6946828473744493
1,1,0.5453493684147789
1,1,0.6819778401619436
1,1,0.8872616349397606
1,1,0.7025304653453502
1,1,0.7328752818625169
1,1,0.3867748725304124
1,1,0.8876504526520181
1,1,0.5285433189249472
1,1,0.8362928528281939
0,1,0.5916984403457286
1,1,0.4547999703388338
1,0,0.3532490241759483
0,0,0.3493947804476543
0,0,0.35643545551097944
1,1,0.5544094810133504
0,1,0.6936305727457406
0,1,0.4951685287260923
1,1,0.914244487815079
1,1,0.4389942095848204
1,1,0.8705698585494169
1,1,0.7330363107198055
1,1,0.8859671110483698
1,1,0.8316417732376993
1,1,0.7840336360038247
1,1,0.8350639986011906
1,1,0.5474028638230767
1,1,0.5595814039949762
1,1,0.6175431981685268
1,1,0.6861505520382323
1,1,0.5482072236036619
1,0,0.2813058908451613
1,1,0.5765809581797819
1,1,0.6095179788064075
1,1,0.9455983233300356
0,0,0.15080790064680716
1,1,0.8616507475959128
1,1,0.831457703484545
1,0,0.36196313574966016
1,1,0.8279604688009397
1,1,0.8526873806979705
0,1,0.7116421403616553
0,1,0.810278296265797
0,0,0.30561901510249717
1,1,0.7044855267862871
1,1,0.6723566123147965
1,0,0.27096823549128496
1,1,0.5478283411057102
1,1,0.3772760940523845
0,0,0.23489907344478334
0,1,0.5275394782389876
1,1,0.5681939432028572
1,1,0.37908511946060364
1,1,0.8226384977972075
1,1,0.4038099561621632
1,1,0.7459098994966118
1,1,0.7341344650813385
1,1,0.8675646305279052
0,1,0.5222620499371468
1,1,0.7974679990043017
0,0,0.31863060945273824
1,1,0.5108427151998455
1,1,0.522587534998447
1,1,0.5175807260419165
0,0,0.30678848146069027
0,0,0.17377493976329128
1,1,0.7235236066440716
1,1,0.6483634298301386
1,0,0.1996687181230844
1,1,0.8180067484026201
1,1,0.5440669429714049
1,1,0.7378199244899108
0,1,0.4370125982744835
1,1,0.3768209493582964
1,1,0.833690765236005
1,0,0.2550340890247377
0,0,0.3383755574276816
1,1,0.42789403133314907
0,0,0.33409448469217484
1,1,0.40616503230512474
1,0,0.3523353001547023
1,0,0.2590269917790263
1,1,0.917351338259826
1,1,0.5136677818859359
1,1,0.6867407153614444
1,1,0.6559298814860196
1,1,0.6879309824093776
1,1,0.7299023753801677
1,1,0.8429760907304813
1,1,0.6721368528217818
1,1,0.8491788976399287
1,1,0.7747825391101836
1,1,0.6756654326340079
1,1,0.8402370366830298
1,1,0.8136755027844158
1,1,0.4086636280730642
1,1,0.6658362111291114
1,1,0.8247822761842225
1,1,0.8677370143263603
1,1,0.6441109974248377
1,1,0.8291262989624049
1,1,0.4519056794988379
1,1,0.6754733566470826
1,1,0.3899296163439492
1,1,0.8687016520087314
1,1,0.5140084029772716
1,1,0.7525865526797834
0,1,0.8373340698199343
0,0,0.2897027633241291
1,1,0.6697903500641086
1,1,0.8950336048091714
1,1,0.6632561211525005
1,1,0.6365324418614287
1,1,0.641731061861984
1,0,0.36141570453460503
0,0,0.2881047195020879
1,1,0.6499230911822024
1,1,0.8906642005938361
1,1,0.6064230041231871
1,0,0.1428823517628392
1,1,0.3825093018301613
1,1,0.8004201578736256
1,1,0.41101848318322287
0,0,0.18503008065636456
1,1,0.9215427948897659
0,0,0.10448459818653333
1,1,0.37349698260632536
1,1,0.44878948977455224
1,1,0.634104675699598
1,1,0.5092575934986737
1,1,0.716374429787638
1,1,0.6898238801319561
1,1,0.46239432738979025
0,1,0.7043932487813229
1,1,0.7846854129181664
1,1,0.891743757078725
1,1,0.6175096303971608
0,0,0.3665165542575941
0,1,0.5121339271584638
1,0,0.28557818678374686
1,0,0.25254827485649173
1,1,0.7510789055653739
1,1,0.4947676955176711
1,1,0.4137791425803443
1,1,0.4160350976259235
0,1,0.7182337776204704
1,1,0.7256198463382408
1,1,0.8304040315917709
0,1,0.7998308105706537
0,1,0.3798869149148529
1,1,0.7352459248618859
1,1,0.4749078796547732
1,1,0.8926510167611733
1,1,0.541008857344343
0,0,0.24624144099673867
1,1,0.877420970457653
1,1,0.4484965438533311
1,1,0.5885912741248269
1,1,0.36931202196599805
1,1,0.5934759943343062
0,1,0.6525536104029777
1,1,0.6629279063693732
1,1,0.7217262148399004
1,1,0.8518597037707276
1,1,0.6190497078720125
1,1,0.7138858415253095
0,0,0.336435735987494
1,1,0.5383535125502547
1,1,0.4610913007347523
1,1,0.3873327306912631
0,1,0.8636245499391537
1,1,0.9071890680352817
1,1,0.6570166211083357
0,1,0.3851767514725683
1,1,0.7494997650229448
0,0,0.27585901095788307
1,1,0.3840175057953569
0,1,0.6755343124642476
1,1,0.6905436288071727
1,1,0.9383924913963229
0,1,0.7296668386990203
1,1,0.6779111177292609
1,1,0.5393322996735538
0,0,0.2949847023227155
1,1,0.9578928853477943
1,1,0.5622974912958387
1,0,0.22935163316526636
